log_date,game_date,pitcher_name,team,opp_team,home_team,away_team,pred_k,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,game_pk,pitcher,actual_k,hit_book_side
2026-06-14,2026-06-13,Aaron Nola,PHI,MIL,MIL,PHI,5.062938582483461,0,,,,,,,,5.0,under,0.5944265926318303,0.051,823776,605400,3,-2
2026-06-15,2026-06-14,Grayson Rodriguez,LAA,TB,LAA,TB,5.709104656907531,1,3.5,over,betmgm,-115.0,0.5348837209302325,0.7020756546578658,0.1672,,,,,824021,680570,1,0
2026-06-15,2026-06-14,Connelly Early,BOS,TEX,BOS,TEX,5.341667131401319,1,5.5,under,betrivers,-104.0,0.5098039215686274,0.5351125439275548,0.0253,5.5,under,0.5351125439275548,-0.0083,824751,813349,3,1
2026-06-15,2026-06-14,Nathan Eovaldi,TEX,BOS,BOS,TEX,4.917077665278378,1,4.5,over,novig,-133.0,0.5708154506437768,0.5466533107093726,-0.0242,5.0,under,0.6112372369183241,0.0679,824751,543135,6,1
2026-06-15,2026-06-14,Paul Skenes,PIT,MIA,PIT,MIA,6.314544307882474,0,,,,,,,,,,,,823368,694973,10,-2
2026-06-15,2026-06-14,Max Meyer,MIA,PIT,PIT,MIA,5.200412342853329,0,,,,,,,,,,,,823368,676974,9,-2
2026-06-15,2026-06-14,Trevor Rogers,BAL,SD,BAL,SD,4.221987720468992,0,,,,,,,,,,,,824823,669432,4,-2
2026-06-15,2026-06-14,Walker Buehler,SD,BAL,BAL,SD,4.165981878500603,0,,,,,,,,,,,,824823,621111,5,-2
2026-06-15,2026-06-14,PJ Poulin,WSH,SEA,WSH,SEA,1.6194422219981364,0,,,,,,,,,,,,822722,676571,0,-2
2026-06-15,2026-06-14,Emerson Hancock,SEA,WSH,WSH,SEA,4.364497789485209,0,,,,,,,,,,,,822722,676106,2,-2
2026-06-15,2026-06-14,Patrick Corbin,TOR,NYY,TOR,NYY,4.306168842930177,0,,,,,,,,,,,,822801,571578,3,-2
2026-06-15,2026-06-14,Will Warren,NYY,TOR,TOR,NYY,4.700640831151276,0,,,,,,,,,,,,822801,701542,1,-2
2026-06-15,2026-06-14,Andrew Abbott,CIN,AZ,CIN,AZ,3.931326312804173,0,,,,,,,,,,,,824506,671096,5,-2
2026-06-15,2026-06-14,Zac Gallen,AZ,CIN,CIN,AZ,4.265337966057,0,,,,,,,,,,,,824506,668678,4,-2
2026-06-15,2026-06-14,Freddy Peralta,NYM,ATL,NYM,ATL,5.065543056559689,0,,,,,,,,,,,,823615,642547,2,-2
2026-06-15,2026-06-14,Bryce Elder,ATL,NYM,NYM,ATL,4.345166874152765,0,,,,,,,,,,,,823615,693821,2,-2
2026-06-15,2026-06-14,Stephen Kolek,KC,HOU,KC,HOU,4.797100889384774,0,,,,,,,,,,,,824099,663568,4,-2
2026-06-15,2026-06-14,Spencer Arrighetti,HOU,KC,KC,HOU,4.104682499848445,0,,,,,,,,,,,,824099,681293,7,-2
2026-06-15,2026-06-14,Taj Bradley,MIN,STL,MIN,STL,5.844466673860819,0,,,,,,,,,,,,823693,671737,7,-2
2026-06-15,2026-06-14,Michael McGreevy,STL,MIN,MIN,STL,3.821532604620868,0,,,,,,,,,,,,823693,700241,2,-2
2026-06-15,2026-06-14,Bryan Hudson,CWS,LAD,CWS,LAD,1.262762403261276,0,,,,,,,,,,,,824586,663542,0,-2
2026-06-15,2026-06-14,Emmet Sheehan,LAD,CWS,CWS,LAD,4.923117306887179,0,,,,,,,,,,,,824586,686218,8,-2
2026-06-15,2026-06-14,Kyle Harrison,MIL,PHI,MIL,PHI,6.542804631488587,0,,,,,,,,,,,,823777,690986,3,-2
2026-06-15,2026-06-14,Cristopher Sánchez,PHI,MIL,MIL,PHI,6.195881668483821,0,,,,,,,,,,,,823777,650911,3,-2
2026-06-15,2026-06-14,Jeffrey Springs,ATH,COL,ATH,COL,4.264104742656864,0,,,,,,,,,,,,824994,605488,5,-2
2026-06-15,2026-06-14,Tomoyuki Sugano,COL,ATH,ATH,COL,3.416841509960981,0,,,,,,,,,,,,824994,608372,2,-2
2026-06-15,2026-06-14,Logan Webb,SF,CHC,SF,CHC,4.732579900388257,0,,,,,,,,,,,,823212,657277,7,-2
2026-06-15,2026-06-14,Ryan Rolison,CHC,SF,SF,CHC,1.0682649511663678,0,,,,,,,,,,,,823212,669020,0,-2
2026-06-15,2026-06-14,Casey Legumina,TB,LAA,LAA,TB,1.3999104479086533,0,,,,,,,,,,,,824021,668984,1,-2
2026-06-15,2026-06-14,Gavin Williams,CLE,DET,CLE,DET,6.452683728357669,0,,,,,,,,,,,,824424,668909,-1,-2
2026-06-15,2026-06-14,Casey Mize,DET,CLE,CLE,DET,3.989189317566996,0,,,,,,,,,,,,824424,663554,-1,-2
2026-06-16,2026-06-15,Eric Lauer,LAD,TB,LAD,TB,4.395555815470825,1,3.5,over,novig,149.0,0.4016064257028112,0.5480433729068023,0.1464,,,,,823938,641778,4,1
2026-06-16,2026-06-15,Walbert Ureña,LAA,AZ,AZ,LAA,5.527459203825558,1,4.5,over,novig,131.0,0.4329004329004329,0.5581346367551175,0.1252,4.0,over,0.5581346367551175,0.0148,825071,700712,3,0
2026-06-16,2026-06-15,Ryan Gusto,MIA,PHI,PHI,MIA,5.23799782982774,1,3.5,over,novig,-130.0,0.5652173913043478,0.6753843520480086,0.1102,4.0,over,0.5096839695381485,-0.0337,823452,687473,1,0
