game_date,game_pk,game_time,venue,away_team,home_team,pitcher,pitcher_name,team,opp_team,is_home,day_night,pred_k,adj_k,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,is_frozen,book_markets,rest_days,prev_pitches,n_prior_starts,opp_k_pct_15,opp_ops_15,opp_chase_pct_15,n_prior_team_games,park_k_factor,temp_f,wind_speed,wind_favor,is_dome,p_k_per9_10,p_bb_per9_10,p_hr_per9_10,p_whip_10,p_fip_10,p_k_pct_10,p_swstr_pct_10,p_called_strike_pct_10,p_chase_pct_10,p_fp_strike_pct_10,p_fastball_velo_10,p_fastball_pct_10,p_slider_pct_10,p_curveball_pct_10,p_changeup_pct_10,p_other_pct_10,p_avg_pitches_10,p_avg_ip_10
2026-06-27,822960,2026-06-27T22:10:00Z,Tropicana Field,AZ,TB,703615,Jose Cabrera,AZ,TB,0,night,1.6118834438976133,2.4818067239739356,0.0719089486430062,0.0556273385194233,0.0512533288863901,0.050246129784828,0.0500431938402635,1,3.5,under,fanduel,104.0,0.49019607843137253,0.7353122114803883,0.2451,4.0,under,0.8279086104470299,0.2845,1,"{""pinnacle"": {""line"": 3.5, ""over"": -133, ""under"": 101}, ""fanduel"": {""line"": 3.5, ""over"": -138, ""under"": 104}, ""draftkings"": {""line"": 3.5, ""over"": -120, ""under"": -106}, ""betrivers"": {""line"": 3.5, ""over"": -130, ""under"": -103}, ""novig"": {""line"": 3.5, ""over"": -117, ""under"": 104}, ""betmgm"": null}",6,62,1.0,0.1860465116279069,0.7562667404215675,0.2956349206349206,973.0,106.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,824825,2026-06-27T23:05:00Z,Oriole Park at Camden Yards,WSH,BAL,656492,Foster Griffin,WSH,BAL,0,night,4.876897864150832,5.461825325685373,0.5338824846910847,0.3762049816394996,0.2480421353300142,0.1587511194114113,0.10431822380875,1,5.5,under,novig,153.0,0.3952569169960474,0.5319256590231044,0.1367,6.0,under,0.6762812005064365,0.1329,1,"{""pinnacle"": {""line"": 5.5, ""over"": -157, ""under"": 118}, ""fanduel"": {""line"": 6.5, ""over"": 128, ""under"": -172}, ""draftkings"": {""line"": 6.5, ""over"": 116, ""under"": -149}, ""betrivers"": {""line"": 5.5, ""over"": -159, ""under"": 120}, ""novig"": {""line"": 5.5, ""over"": -160, ""under"": 153}, ""betmgm"": {""line"": 5.5, ""over"": -175, ""under"": 130}}",5,105,16.0,0.2664298401420959,0.7345620066208302,0.2906360424028268,969.0,97.4,80.5,8.5,-8.453436110630323,0.0,9.104651162790695,2.3546511627906974,1.569767441860465,1.063953488372093,4.443023255813953,0.2457627118644068,0.2227272727272727,0.1984897518878101,0.3083700440528634,0.6016949152542372,91.35818181818182,0.296655879180151,0.1585760517799352,0.104638619201726,0.1294498381877022,0.3096008629989212,92.6,5.733333333333333
2026-06-27,823038,2026-06-27T23:15:00Z,Busch Stadium,MIA,STL,669467,Andre Pallante,STL,MIA,1,night,5.897678932018259,5.35410765714461,0.6809126558692051,0.5339735214735928,0.3895402152712592,0.2678514628325097,0.1781413138923098,1,4.5,over,novig,104.0,0.49019607843137253,0.60737183981778,0.1172,4.5,over,0.5796173948824923,0.0362,1,"{""pinnacle"": {""line"": 4.5, ""over"": -112, ""under"": -118}, ""fanduel"": {""line"": 4.5, ""over"": -102, ""under"": -120}, ""draftkings"": null, ""betrivers"": {""line"": 4.5, ""over"": -113, ""under"": -118}, ""novig"": {""line"": 4.5, ""over"": 104, ""under"": -120}, ""betmgm"": {""line"": 4.5, ""over"": -105, ""under"": -125}}",5,85,15.0,0.2178571428571428,0.7793618465716226,0.306141154903758,956.0,89.3,81.1,7.8,6.466493065929325,0.0,7.9411764705882355,2.223529411764706,1.111764705882353,1.111764705882353,3.8411764705882354,0.2164502164502164,0.2,0.207276736493936,0.2876106194690265,0.6926406926406926,95.33679458239276,0.4884233737596472,0.3042998897464167,0.1874310915104741,0.0198456449834619,0.0,90.7,5.666666666666666
2026-06-27,823283,2026-06-28T00:40:00Z,Petco Park,LAD,SD,681190,Randy Vásquez,SD,LAD,1,night,4.791965754686893,4.3065204038219775,0.5200500246731756,0.3628308516994933,0.2372660362211469,0.1513085653974588,0.0998204083291326,1,3.5,over,fanduel,-100.0,0.5,0.6116155518060848,0.1116,3.5,over,0.6335733846230586,0.0902,1,"{""pinnacle"": null, ""fanduel"": {""line"": 3.5, ""over"": -100, ""under"": -122}, ""draftkings"": {""line"": 3.5, ""over"": -108, ""under"": -118}, ""betrivers"": null, ""novig"": {""line"": 4.5, ""over"": 326, ""under"": -258}, ""betmgm"": {""line"": 3.5, ""over"": -105, ""under"": -125}}",8,72,15.0,0.2229617304492512,0.7750217976913967,0.2570754716981132,1006.0,102.0,,,,,5.639240506329114,2.392405063291139,1.7088607594936709,1.3291139240506329,5.226582278481013,0.147982062780269,0.1659090909090909,0.144960362400906,0.2827586206896552,0.6355555555555555,94.89949109414758,0.4450736126840317,0.1585503963759909,0.087202718006795,0.0634201585503963,0.2412231030577576,87.9,5.266666666666668
2026-06-27,824825,2026-06-27T23:05:00Z,Oriole Park at Camden Yards,WSH,BAL,687064,Brandon Young,BAL,WSH,1,night,5.157001138425837,4.806349744924022,0.5779488766098064,0.4204090866179268,0.2850036072286779,0.1852484341773277,0.1209437415536178,1,4.5,over,fanduel,126.0,0.4424778761061947,0.5224068232902553,0.0799,4.0,over,0.5310167756356501,-0.0124,1,"{""pinnacle"": {""line"": 3.5, ""over"": -189, ""under"": 141}, ""fanduel"": {""line"": 4.5, ""over"": 126, ""under"": -154}, ""draftkings"": {""line"": 4.5, ""over"": 116, ""under"": -148}, ""betrivers"": {""line"": 4.5, ""over"": 118, ""under"": -157}, ""novig"": {""line"": 3.5, ""over"": -194, ""under"": 150}, ""betmgm"": {""line"": 4.5, ""over"": 120, ""under"": -160}}",6,95,12.0,0.2234234234234234,0.768243057076448,0.3342342342342342,958.0,97.4,80.5,8.5,-8.453436110630323,0.0,6.593023255813954,3.296511627906977,0.9418604651162792,1.2906976744186045,4.1465116279069765,0.1700404858299595,0.1990950226244343,0.1481481481481481,0.3498964803312629,0.6370967741935484,93.9146551724138,0.5207631874298541,0.1503928170594837,0.1178451178451178,0.2109988776655443,0.0,89.1,5.733333333333333
2026-06-27,824581,2026-06-27T20:10:00Z,Rate Field,KC,CWS,663436,Davis Martin,CWS,KC,1,day,5.960830041370882,5.662691803097997,0.68869964447148,0.543207560490179,0.3986652963272811,0.2755807434029993,0.1838699808155289,1,5.5,over,novig,135.0,0.425531914893617,0.49886761387490086,0.0733,5.0,over,0.5010383295302243,-0.0423,1,"{""pinnacle"": {""line"": 4.5, ""over"": -174, ""under"": 130}, ""fanduel"": {""line"": 5.5, ""over"": 128, ""under"": -158}, ""draftkings"": {""line"": 5.5, ""over"": 117, ""under"": -150}, ""betrivers"": {""line"": 5.5, ""over"": 106, ""under"": -141}, ""novig"": {""line"": 5.5, ""over"": 135, ""under"": -147}, ""betmgm"": {""line"": 5.5, ""over"": 105, ""under"": -140}}",6,77,15.0,0.1917098445595854,0.7967527431730055,0.2964959568733153,973.0,99.3,71.4,11.2,-9.06099033699941,0.0,10.164705882352942,2.223529411764706,0.6352941176470589,1.2705882352941178,2.6588235294117646,0.2666666666666666,0.2817204301075269,0.1599147121535181,0.363265306122449,0.5958333333333333,93.7781954887218,0.4253731343283582,0.1524520255863539,0.1375266524520255,0.1439232409381663,0.1076759061833688,93.8,5.666666666666666
2026-06-27,824015,2026-06-28T01:38:00Z,Angel Stadium,ATH,LAA,672282,Reid Detmers,LAA,ATH,1,night,6.092113350852885,6.553849162784497,0.7043754827653885,0.5621000456896117,0.4176403640716492,0.2919168276366859,0.1961765732827012,1,7.5,under,fanduel,-140.0,0.5833333333333334,0.6483807421180673,0.065,7.0,under,0.6357365946222241,0.0924,1,"{""pinnacle"": {""line"": 6.5, ""over"": -163, ""under"": 122}, ""fanduel"": {""line"": 7.5, ""over"": 114, ""under"": -140}, ""draftkings"": {""line"": 7.5, ""over"": 113, ""under"": -145}, ""betrivers"": {""line"": 7.5, ""over"": 120, ""under"": -162}, ""novig"": {""line"": 6.5, ""over"": -170, ""under"": 153}, ""betmgm"": {""line"": 7.5, ""over"": 115, ""under"": -155}}",6,90,16.0,0.2093425605536332,0.8237427122339669,0.2701048951048951,964.0,105.5,,,,,10.46629213483146,2.426966292134831,0.7584269662921348,0.9775280898876404,2.729213483146068,0.2936170212765957,0.2350332594235033,0.1670212765957446,0.3002114164904862,0.6510638297872341,94.12751677852349,0.475531914893617,0.2978723404255319,0.1063829787234042,0.1180851063829787,0.001063829787234,93.9,5.933333333333334
2026-06-27,824581,2026-06-27T20:10:00Z,Rate Field,KC,CWS,608379,Michael Wacha,KC,CWS,0,day,4.242036789092752,4.426913291496667,0.4265034870428645,0.2783744338438609,0.1736462849765859,0.1101804763553627,0.0765274394777691,1,4.5,under,bet365,105.0,0.4878048780487805,0.5414269967151188,0.0536,4.5,over,0.4948443600072624,-0.0485,1,"{""pinnacle"": {""line"": 4.5, ""over"": -114, ""under"": -116}, ""fanduel"": {""line"": 4.5, ""over"": -125, ""under"": -106}, ""draftkings"": {""line"": 4.5, ""over"": -124, ""under"": -103}, ""betrivers"": null, ""novig"": {""line"": 4.5, ""over"": -100, ""under"": -102}, ""betmgm"": {""line"": 4.5, ""over"": -135, ""under"": 100}}",5,99,16.0,0.2467771639042357,0.6742903420530684,0.3045454545454545,972.0,99.3,71.4,11.2,-9.06099033699941,0.0,6.421621621621622,2.6270270270270277,1.0216216216216216,1.2972972972972974,4.170270270270271,0.1698841698841698,0.1797752808988764,0.1602634467618002,0.2844243792325056,0.6525096525096525,92.91706666666668,0.411635565312843,0.1075740944017563,0.1009879253567508,0.2294182217343578,0.1481888035126234,90.9,6.166666666666666
2026-06-27,824745,2026-06-27T17:10:00Z,Fenway Park,NYY,BOS,543037,Gerrit Cole,NYY,BOS,0,day,4.26412246097469,4.6309316138357275,0.4303570725924323,0.2816523532165622,0.1759698308926314,0.1115922284392123,0.077277980863547,1,5.5,under,betrivers,-157.0,0.6108949416342413,0.6623744239053696,0.0515,,,,,0,"{""pinnacle"": null, ""fanduel"": {""line"": 4.5, ""over"": -172, ""under"": 128}, ""draftkings"": {""line"": 5.5, ""over"": 128, ""under"": -164}, ""betrivers"": {""line"": 5.5, ""over"": 117, ""under"": -157}, ""novig"": null, ""betmgm"": null}",0,89,7.0,0.2192028985507246,0.7255604030789118,0.3409926470588235,983.0,97.6,75.3,11.6,-11.59823326381414,0.0,8.072164948453608,2.5051546391752577,1.3917525773195876,1.1752577319587627,4.2443298969072165,0.213235294117647,0.1652542372881356,0.2052313883299799,0.2850877192982456,0.6838235294117647,96.5391129032258,0.4989939637826961,0.1750503018108652,0.1307847082494969,0.1368209255533199,0.0,82.66666666666667,5.388888888888889
2026-06-27,823283,2026-06-28T00:40:00Z,Petco Park,LAD,SD,808967,Yoshinobu Yamamoto,LAD,SD,0,night,5.797662067991068,6.017091149088144,0.6682529988533814,0.5191682877380791,0.3751111586463138,0.2557976510807392,0.1693302264542523,1,6.5,under,novig,-130.0,0.5652173913043478,0.5932018135446686,0.028,6.0,over,0.4129399236498902,-0.1304,1,"{""pinnacle"": {""line"": 6.5, ""over"": 103, ""under"": -137}, ""fanduel"": {""line"": 6.5, ""over"": 108, ""under"": -144}, ""draftkings"": {""line"": 6.5, ""over"": 108, ""under"": -138}, ""betrivers"": null, ""novig"": {""line"": 6.5, ""over"": 117, ""under"": -130}, ""betmgm"": {""line"": 5.5, ""over"": -175, ""under"": 130}}",7,102,14.0,0.2255244755244755,0.7172714521795887,0.3017094017094017,977.0,102.0,,,,,8.778325123152708,1.7290640394088668,1.064039408866995,0.8275862068965517,3.351231527093596,0.2578125,0.25,0.1561866125760649,0.349705304518664,0.59375,95.85157384987892,0.4188640973630831,0.063894523326572,0.1288032454361054,0.268762677484787,0.1186612576064908,98.5,6.766666666666668
