game_date,game_pk,game_time,venue,away_team,home_team,pitcher,pitcher_name,team,opp_team,is_home,day_night,pred_k,adj_k,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,is_frozen,rest_days,prev_pitches,n_prior_starts,opp_k_pct_15,opp_ops_15,opp_chase_pct_15,n_prior_team_games,park_k_factor,temp_f,wind_speed,wind_favor,is_dome,p_k_per9_10,p_bb_per9_10,p_hr_per9_10,p_whip_10,p_fip_10,p_k_pct_10,p_swstr_pct_10,p_called_strike_pct_10,p_chase_pct_10,p_fp_strike_pct_10,p_fastball_velo_10,p_fastball_pct_10,p_slider_pct_10,p_curveball_pct_10,p_changeup_pct_10,p_other_pct_10,p_avg_pitches_10,p_avg_ip_10
2026-06-22,823040,2026-06-22T23:45:00Z,Busch Stadium,AZ,STL,669467,Andre Pallante,STL,AZ,1,night,5.298684673913045,4.714476042141555,0.5992393004595957,0.4426680122860504,0.3043976981160525,0.1997332988946657,0.1304103428873306,1,3.5,over,pinnacle,-123.0,0.5515695067264574,0.6733298715513486,0.1218,,,,,0,6,92,14.0,0.1890459363957597,0.6752052135823793,0.2776255707762557,986.0,89.3,,,,,8.067073170731708,2.798780487804878,1.3170731707317074,1.1890243902439024,4.307317073170732,0.2149122807017544,0.208955223880597,0.1929046563192904,0.2813852813852814,0.6754385964912281,95.25730337078652,0.4933481152993348,0.2926829268292683,0.1906873614190687,0.0232815964523281,0.0,90.2,5.466666666666667
2026-06-22,823040,2026-06-22T23:45:00Z,Busch Stadium,AZ,STL,518876,Merrill Kelly,AZ,STL,0,night,4.776284662870831,4.295168111104491,0.5174743092537287,0.3603663444158659,0.2353009506042108,0.1499655331301376,0.0990172524200009,1,3.5,over,betrivers,-103.0,0.5073891625615764,0.6097790012210137,0.1024,,,,,0,6,88,12.0,0.1711864406779661,0.8065340300328021,0.2749169435215947,954.0,89.3,,,,,5.338983050847458,3.5084745762711864,1.8305084745762712,1.423728813559322,5.828813559322034,0.1356589147286821,0.2044444444444444,0.1477516059957173,0.3371212121212121,0.637065637065637,92.02066869300911,0.3522483940042826,0.1381156316916488,0.1049250535331905,0.2601713062098501,0.1402569593147751,93.0,5.9
2026-06-22,824261,2026-06-22T22:10:00Z,Comerica Park,NYY,DET,543037,Gerrit Cole,NYY,DET,0,night,4.780718483630134,4.98525818779969,0.5182032620656492,0.3610630048086721,0.2358557827435355,0.1503442854848522,0.0992434860464179,1,5.5,under,pinnacle,-108.0,0.5192307692307693,0.6066926087717471,0.0875,,,,,0,6,90,5.0,0.2414414414414414,0.7829744057291169,0.2754385964912281,977.0,98.9,72.1,9.7,-6.363772581207919,0.0,7.363636363636363,2.4545454545454546,1.2272727272727273,1.0454545454545454,4.190909090909091,0.2022471910112359,0.1456953642384106,0.210691823899371,0.3202614379084967,0.6966292134831461,96.6514450867052,0.5440251572327044,0.1666666666666666,0.1320754716981132,0.1540880503144654,0.0,79.25,5.5
2026-06-22,824016,2026-06-23T01:38:00Z,Angel Stadium,BAL,LAA,680694,Kyle Bradish,BAL,LAA,0,night,5.145813442969764,5.709138440048058,0.5762378866226959,0.4186462861569179,0.2834901234609316,0.184134637903615,0.1202265387519114,1,6.5,under,betrivers,-125.0,0.5555555555555556,0.6376186337509474,0.0821,,,,,0,5,100,15.0,0.2491408934707903,0.7714862891773506,0.3518835616438356,966.0,105.5,78.7,9.3,3.027783836451558,0.0,8.720496894409937,4.86335403726708,1.6770186335403725,1.5652173913043477,5.261490683229813,0.2212765957446808,0.2383292383292383,0.1684549356223176,0.3039399624765478,0.5531914893617021,94.435140562249,0.5343347639484979,0.2317596566523605,0.232832618025751,0.0,0.0,93.1,5.366666666666667
2026-06-22,824585,2026-06-22T23:40:00Z,Rate Field,CLE,CWS,668909,Gavin Williams,CLE,CWS,0,night,6.079701678993461,5.58296803176467,0.7029230804877458,0.5603322097804736,0.4158472171057833,0.2903578381695442,0.1949905896927318,1,4.5,over,caesars,-130.0,0.5652173913043478,0.6397366059860086,0.0745,,,,,0,5,87,15.0,0.2433862433862433,0.7296713713924583,0.2904085257548845,968.0,99.3,65.2,20.4,-19.609738597141703,0.0,9.84375,1.6875,1.40625,1.078125,3.6,0.2734375,0.2780082987551867,0.1925078043704474,0.3558951965065502,0.6926070038910506,96.50582010582008,0.3933402705515088,0.2528616024973985,0.2622268470343392,0.0,0.0593132154006243,96.1,6.4
2026-06-22,824502,2026-06-22T23:10:00Z,Great American Ball Park,MIL,CIN,663903,Brady Singer,CIN,MIL,1,night,4.7478645438705644,5.081782865985722,0.5127894449865356,0.3559044198788144,0.2317596118499492,0.1475563643719681,0.0975831627245349,1,5.5,under,novig,-113.0,0.5305164319248826,0.5914522429316333,0.0609,,,,,0,6,91,14.0,0.2132471728594507,0.8515486298009012,0.2609046849757673,981.0,103.9,78.5,11.9,5.216616646790022,0.0,6.202702702702703,3.1013513513513518,2.7364864864864864,1.5405405405405406,6.8297297297297295,0.1524663677130044,0.2010443864229765,0.167824074074074,0.2790697674418604,0.5267857142857143,91.24420289855072,0.4791666666666667,0.4548611111111111,0.0,0.0,0.0659722222222222,86.4,4.933333333333334
2026-06-22,823692,2026-06-22T23:40:00Z,Target Field,LAD,MIN,805673,Zebby Matthews,MIN,LAD,1,night,5.14423729555071,4.887234179437369,0.575996495078275,0.4183978930351484,0.2832771253089972,0.1839780834889527,0.1201258541960624,1,4.5,over,pinnacle,103.0,0.49261083743842365,0.5355518716395454,0.0429,,,,,0,6,93,7.0,0.2258620689655172,0.7504690040438571,0.2730184147317854,1002.0,101.7,79.0,7.4,-3.587591189822894,0.0,7.431192660550458,2.2293577981651373,1.9816513761467889,1.18348623853211,5.219266055045871,0.2,0.2039215686274509,0.1702898550724637,0.2708333333333333,0.6733333333333333,95.11189427312776,0.411231884057971,0.2101449275362318,0.144927536231884,0.1376811594202898,0.0960144927536231,92.0,6.055555555555556
2026-06-22,822800,2026-06-22T23:07:00Z,Rogers Centre,HOU,TOR,656302,Dylan Cease,TOR,HOU,1,night,7.979374165649328,7.647756940970128,0.8592625566041817,0.7761804986014924,0.6656900273922196,0.5397407686039778,0.4141162358842803,1,7.5,over,betrivers,120.0,0.45454545454545453,0.4972006344640092,0.0427,,,,,0,6,108,13.0,0.236983842010772,0.728159479962875,0.2937123169681309,990.0,96.9,,,,,13.114285714285714,3.394285714285714,0.7714285714285714,1.1314285714285717,2.585714285714286,0.3601694915254237,0.336283185840708,0.1644803229061553,0.3118279569892473,0.6192468619246861,97.40484581497796,0.4581231079717457,0.3289606458123107,0.089808274470232,0.1220988900100908,0.0,99.0,5.833333333333334
2026-06-22,823613,2026-06-22T23:10:00Z,Citi Field,CHC,NYM,684007,Shota Imanaga,CHC,NYM,0,night,4.543991491038226,4.888884908356834,0.4786028983982776,0.3241420626756143,0.2071639421385422,0.1312285729445279,0.0880973640087219,1,5.5,under,betrivers,-139.0,0.5815899581589958,0.6219046546911311,0.0403,,,,,0,7,85,15.0,0.2275132275132275,0.7534613851040135,0.3018699910952805,970.0,103.3,77.2,15.3,10.628273068022658,0.0,7.627118644067797,2.440677966101695,2.288135593220339,1.1694915254237288,5.676271186440678,0.2040816326530612,0.2796420581655481,0.1369248035914702,0.3477366255144033,0.5510204081632653,91.46194690265486,0.5072951739618407,0.1279461279461279,0.0246913580246913,0.3400673400673401,0.0,89.1,5.9
2026-06-22,823692,2026-06-22T23:40:00Z,Target Field,LAD,MIN,641778,Eric Lauer,LAD,MIN,0,night,3.432879366836786,3.629075538413322,0.2857509738439294,0.1702798456260018,0.1042134367052205,0.0718137207016273,0.057910681131614,1,3.5,under,betrivers,112.0,0.4716981132075472,0.5081482365710503,0.0365,,,,,0,7,93,10.0,0.1754684838160136,0.8848992317829707,0.2902930402930403,970.0,101.7,79.0,7.4,-3.587591189822894,0.0,5.90625,3.1640625,2.3203125,1.2890625,6.19375,0.154696132596685,0.1489971346704871,0.1469740634005763,0.3089430894308943,0.6153846153846154,90.61064516129032,0.446685878962536,0.0778097982708933,0.1311239193083573,0.1642651296829971,0.1801152737752161,77.11111111111111,4.7407407407407405
