game_date,game_pk,game_time,venue,away_team,home_team,pitcher,pitcher_name,team,opp_team,is_home,day_night,pred_k,adj_k,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,rest_days,prev_pitches,n_prior_starts,opp_k_pct_15,opp_ops_15,opp_chase_pct_15,n_prior_team_games,park_k_factor,temp_f,wind_speed,wind_favor,is_dome,p_k_per9_10,p_bb_per9_10,p_hr_per9_10,p_whip_10,p_fip_10,p_k_pct_10,p_swstr_pct_10,p_called_strike_pct_10,p_chase_pct_10,p_fp_strike_pct_10,p_fastball_velo_10,p_fastball_pct_10,p_slider_pct_10,p_curveball_pct_10,p_changeup_pct_10,p_other_pct_10,p_avg_pitches_10,p_avg_ip_10
2026-06-19,824663,2026-06-19T18:20:00Z,Wrigley Field,TOR,CHC,676962,Ben Brown,CHC,TOR,1,day,5.010689179526283,5.010689179526283,0.5552422772133067,0.3973234462228281,0.265443083274923,0.1710414393299134,0.1119142773493194,0,,,,,,,,,,,,0,72,8.0,0.2099644128113879,0.750848830656523,0.3394415357766143,979.0,101.8,75.0,11.3,-0.1972121927413033,0.0,9.165137614678898,2.7247706422018347,0.0,0.9357798165137614,2.1366972477064223,0.2605633802816901,0.2558139534883721,0.1657250470809793,0.325,0.6408450704225352,96.4189368770764,0.5668549905838042,0.0,0.3634651600753296,0.0696798493408663,0.0,75.85714285714286,5.190476190476191
2026-06-19,824663,2026-06-19T18:20:00Z,Wrigley Field,TOR,CHC,592332,Kevin Gausman,TOR,CHC,0,day,4.643898683114436,4.643898683114436,0.4954767801752738,0.3396452370894505,0.2190342541354599,0.1390192277198634,0.092571518244769,0,,,,,,,,,,,,0,68,16.0,0.2231985940246045,0.7241155344998853,0.2741666666666666,969.0,101.8,75.0,11.3,-0.1972121927413033,0.0,7.823863636363637,1.5340909090909092,1.2272727272727273,1.0738636363636365,3.696590909090909,0.2161016949152542,0.2338204592901878,0.1446409989594172,0.3383742911153119,0.6092436974789915,93.93112840466924,0.5348595213319459,0.0957336108220603,0.0,0.3694068678459937,0.0,96.1,5.866666666666666
2026-06-19,824264,2026-06-19T22:40:00Z,Comerica Park,CWS,DET,669373,Tarik Skubal,DET,CWS,1,night,6.022164904604484,6.022164904604484,0.6961094333708486,0.5520865523645867,0.4075316291219303,0.2831696883305412,0.1895536739177412,0,,,,,,,,,,,,0,10,9.0,0.2309058614564831,0.7675612848689772,0.3032490974729241,965.0,98.9,76.2,15.1,-5.411356038134034,0.0,9.1875,1.3125,0.5625,0.9791666666666666,2.4333333333333336,0.2620320855614973,0.2637362637362637,0.157001414427157,0.3565459610027855,0.6737967914438503,96.66190476190476,0.5643564356435643,0.1499292786421499,0.0297029702970297,0.2545968882602546,0.0,88.25,6.0
2026-06-19,824264,2026-06-19T22:40:00Z,Comerica Park,CWS,DET,685126,Brandon Eisert,CWS,DET,0,night,1.5951304024003563,1.5951304024003563,0.071073311906971,0.0553593428192573,0.0511817045135587,0.0502297219604654,0.0500399049213413,0,,,,,,,,,,,,10,21,3.0,0.2385964912280701,0.8104623758487178,0.2838654012079378,974.0,98.9,76.2,15.1,-5.411356038134034,0.0,10.125,0.0,0.0,0.375,0.8500000000000001,0.3333333333333333,0.3888888888888889,0.1904761904761904,0.3076923076923077,0.6666666666666666,89.85,0.3809523809523809,0.4047619047619047,0.0,0.2142857142857142,0.0,21.0,1.3333333333333333
2026-06-19,823534,2026-06-19T23:05:00Z,Yankee Stadium,CIN,NYY,693645,Cam Schlittler,NYY,CIN,1,night,6.697501525693072,6.697501525693072,0.7678243610589319,0.6431039842437478,0.5038848319096295,0.3706819054577075,0.2591660550653913,0,,,,,,,,,,,,6,101,15.0,0.2553191489361702,0.7210617166587447,0.2572156196943972,955.0,105.5,,,,,8.80110497237569,1.9392265193370164,0.5966850828729282,0.9116022099447514,2.702209944751381,0.25,0.2229038854805726,0.1450053705692803,0.348643006263048,0.6101694915254238,97.70962837837835,0.635875402792696,0.0257787325456498,0.0698174006444683,0.0,0.267454350161117,93.0,6.033333333333333
2026-06-19,823534,2026-06-19T23:05:00Z,Yankee Stadium,CIN,NYY,695076,Rhett Lowder,CIN,NYY,0,night,3.787168580083697,3.787168580083697,0.3466970253879537,0.2142970103011778,0.1307268141113036,0.0855133253624861,0.0641094373642999,0,,,,,,,,,,,,6,96,10.0,0.2184300341296928,0.7855583776490198,0.2894521668029435,994.0,105.5,,,,,6.75,5.008064516129032,0.4354838709677419,1.4516129032258065,3.970967741935484,0.1703296703296703,0.1881533101045296,0.1897506925207756,0.2440944881889764,0.5136612021857924,92.7082262210797,0.538781163434903,0.2479224376731301,0.0,0.2119113573407202,0.0,80.11111111111111,4.592592592592593
2026-06-19,822966,2026-06-19T23:10:00Z,Tropicana Field,WSH,TB,643377,Griffin Jax,TB,WSH,1,night,4.446941408859868,4.446941408859868,0.4620170275040852,0.309230104331646,0.1959910217670109,0.1240527981444426,0.0840646649560651,0,,,,,,,,,,,,6,63,9.0,0.1963963963963964,0.7636366891662041,0.3072072072072072,950.0,106.0,,,,,7.8,3.3,1.2,1.2666666666666666,4.2,0.2166666666666666,0.2769953051643192,0.1540229885057471,0.336283185840708,0.6885245901639344,95.89142857142858,0.4022988505747126,0.2091954022988505,0.0735632183908046,0.2114942528735632,0.0942528735632183,54.375,3.75
2026-06-19,822966,2026-06-19T23:10:00Z,Tropicana Field,WSH,TB,676571,PJ Poulin,WSH,TB,0,night,1.5265575895659451,1.5265575895659451,0.0678683463293539,0.054358460162531,0.0509211902855084,0.0501715916543434,0.0500285534694017,0,,,,,,,,,,,,5,15,8.0,0.2025089605734767,0.6653727343779077,0.2888888888888888,965.0,106.0,,,,,5.785714285714287,2.8928571428571432,1.9285714285714288,1.0714285714285716,5.885714285714286,0.1666666666666666,0.1492537313432835,0.2051282051282051,0.2891566265060241,0.6944444444444444,89.44105263157894,0.6089743589743589,0.3205128205128205,0.0,0.0705128205128205,0.0,22.285714285714285,1.3333333333333333
2026-06-19,823853,2026-06-19T23:10:00Z,loanDepot park,SF,MIA,669199,Lake Bachar,MIA,SF,1,night,3.55055579542893,3.55055579542893,0.3057204470811235,0.1842260688824427,0.1123306407782155,0.0758636795038861,0.0596789319171044,0,,,,,,,,,,,,6,42,3.0,0.1883116883116883,0.8740251355125452,0.308130081300813,960.0,100.3,,,,,9.529411764705884,1.5882352941176472,0.0,0.1764705882352941,1.511764705882353,0.3333333333333333,0.2564102564102564,0.1724137931034483,0.2666666666666666,0.8888888888888888,94.19473684210529,0.4367816091954023,0.3448275862068966,0.2183908045977011,0.0,0.0,43.5,2.833333333333333
2026-06-19,823853,2026-06-19T23:10:00Z,loanDepot park,SF,MIA,694738,Landen Roupp,SF,MIA,0,night,5.988367209428506,5.988367209428506,0.6920450612278026,0.5472050509874331,0.4026458563313139,0.2789782076027287,0.1864072960385556,0,,,,,,,,,,,,7,105,14.0,0.2322695035460993,0.7167962555909146,0.2992831541218638,949.0,100.3,,,,,10.0188679245283,4.245283018867925,0.6792452830188679,1.339622641509434,3.3830188679245285,0.2633928571428571,0.248730964467005,0.1893860561914672,0.2900355871886121,0.5688888888888889,93.19870801033592,0.4027055150884495,0.0,0.2892819979188345,0.186264308012487,0.1217481789802289,96.1,5.3
