game_date,game_pk,game_time,venue,away_team,home_team,pitcher,pitcher_name,team,opp_team,is_home,day_night,pred_k,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,rest_days,prev_pitches,n_prior_starts,opp_k_pct_15,opp_ops_15,opp_chase_pct_15,n_prior_team_games,park_k_factor,temp_f,wind_speed,wind_favor,is_dome,p_k_per9_10,p_bb_per9_10,p_hr_per9_10,p_whip_10,p_fip_10,p_k_pct_10,p_swstr_pct_10,p_called_strike_pct_10,p_chase_pct_10,p_fp_strike_pct_10,p_fastball_velo_10,p_fastball_pct_10,p_slider_pct_10,p_curveball_pct_10,p_changeup_pct_10,p_other_pct_10,p_avg_pitches_10,p_avg_ip_10
2026-06-11,824827,2026-06-11T23:05:00Z,Oriole Park at Camden Yards,SEA,BAL,693433,Bryan Woo,SEA,BAL,0,night,5.184545907347823,0.5912701234532918,0.4163850688307513,0.2652684697974861,0.1533440490760236,0.0808093869030567,1,6.5,under,prophetx,-148.0,0.5967741935483871,0.7347315302025139,0.138,6.0,under,0.7347315302025139,0.1914,6,90,83.0,0.1963394342762063,0.7744180673482355,0.2796208530805687,955.0,97.4,97.6,14.3,12.960201354624097,0.0,8.271676300578035,1.8728323699421965,0.9364161849710982,1.0578034682080923,3.290751445086705,0.2274678111587982,0.208067940552017,0.1380897583429229,0.3655172413793103,0.7253218884120172,95.59267015706808,0.6593785960874569,0.2830840046029919,0.0,0.0540851553509781,0.0,86.6,5.766666666666668
2026-06-11,824101,2026-06-11T18:10:00Z,Kauffman Stadium,TEX,KC,677958,Kumar Rocker,TEX,KC,0,day,3.6743772800412473,0.3078390489832828,0.1662675886460942,0.0795697624185568,0.0340611162872099,0.0131591243634027,1,2.5,over,betmgm,-135.0,0.574468085106383,0.7102051345048954,0.1357,,,,,6,94,28.0,0.1996557659208261,0.7020220588235294,0.3061578490893322,958.0,88.9,93.1,22.8,15.256177824981968,0.0,6.889655172413794,4.096551724137932,0.9310344827586208,1.406896551724138,4.403448275862069,0.1745283018867924,0.1969309462915601,0.1407942238267148,0.2873303167420814,0.5330188679245284,94.38,0.4693140794223827,0.3694344163658243,0.0,0.0709987966305655,0.0878459687123947,82.9,4.833333333333333
2026-06-11,823371,2026-06-11T22:40:00Z,PNC Park,LAD,PIT,680736,Justin Wrobleski,LAD,PIT,0,night,4.302824417994576,0.4301077539806283,0.2638070930457092,0.1445466689458083,0.0712385739576023,0.0318095913136124,1,4.5,under,prophetx,116.0,0.46296296296296297,0.5698922460193717,0.1069,4.5,under,0.5698922460193717,0.0265,7,84,18.0,0.2404844290657439,0.7870847046596223,0.3037272006344171,952.0,97.0,91.0,20.7,10.96932876962734,0.0,5.984536082474228,2.2268041237113407,0.6958762886597939,1.0360824742268042,3.610309278350516,0.166023166023166,0.161987041036717,0.1698113207547169,0.2823529411764706,0.65,93.87229601518024,0.5524109014675053,0.310272536687631,0.0649895178197065,0.0398322851153039,0.030398322851153,95.2,6.466666666666666
2026-06-11,824827,2026-06-11T23:05:00Z,Oriole Park at Camden Yards,SEA,BAL,680694,Kyle Bradish,BAL,SEA,1,night,5.251458592071857,0.6024685547409454,0.4280715617122199,0.2754317971335209,0.160920168106573,0.0857510333383591,1,5.5,under,novig,-104.0,0.5098039215686274,0.5719284382877801,0.0621,5.5,under,0.5719284382877801,0.0285,5,81,80.0,0.1969439728353141,0.8242669081284391,0.3368700265251989,972.0,97.4,97.6,14.3,12.960201354624097,0.0,8.73529411764706,4.288235294117647,0.9529411764705884,1.3941176470588237,4.017647058823529,0.2263374485596707,0.2351543942992874,0.1647549530761209,0.2891791044776119,0.5473251028806584,94.32632653061223,0.5109489051094891,0.246089676746611,0.2419186652763295,0.0,0.0,95.8,5.666666666666666
2026-06-11,824589,2026-06-11T23:40:00Z,Rate Field,ATL,CWS,527048,Martín Pérez,ATL,CWS,0,night,3.8823497457802616,0.3481915569136509,0.1967625876914839,0.0987792176642428,0.0444355445619638,0.0180629013802889,1,4.5,under,betmgm,-150.0,0.6,0.6518084430863491,0.0518,4.0,under,0.6518084430863491,0.1084,6,85,119.0,0.2139219015280135,0.8025126327013119,0.2898814949863263,959.0,99.3,79.7,21.2,20.570269397051124,0.0,6.151898734177215,3.759493670886076,1.0253164556962029,1.1962025316455698,4.5810126582278485,0.1674418604651162,0.1827956989247312,0.1832151300236406,0.2885462555066079,0.631336405529954,89.94662576687116,0.3853427895981087,0.0,0.0992907801418439,0.3049645390070922,0.210401891252955,84.6,5.266666666666667
2026-06-11,823371,2026-06-11T22:40:00Z,PNC Park,LAD,PIT,656605,Mitch Keller,PIT,LAD,1,night,3.9720602632419526,0.3657047456046267,0.2105182077483357,0.1077831610134911,0.0494874757595226,0.0205432288950541,1,4.5,under,novig,-149.0,0.5983935742971888,0.6342952543953733,0.0359,4.0,under,0.6342952543953733,0.0909,6,99,160.0,0.1902268760907504,0.8382798304058147,0.2755364806866953,992.0,97.0,91.0,20.7,10.96932876962734,0.0,7.029585798816568,2.5562130177514795,0.6390532544378699,1.1893491124260356,3.4727810650887574,0.1888412017167382,0.204225352112676,0.1584948688711516,0.3071748878923767,0.5836909871244635,93.10898345153666,0.4823261117445838,0.2713797035347776,0.080957810718358,0.0935005701254275,0.0706955530216647,87.6,5.633333333333333
2026-06-11,823619,2026-06-11T17:10:00Z,Citi Field,STL,NYM,681035,Christian Scott,NYM,STL,1,day,4.46135323433028,0.46054556430186,0.2904822200711591,0.1640301116003824,0.0834376082983848,0.0384936551397422,0,,,,,,,,,,,,0,88,18.0,0.2066549912434325,0.7132915603859377,0.3067375886524823,944.0,103.3,97.8,10.7,2.769363782596972,0.0,10.150375939849624,4.263157894736842,0.8120300751879699,1.443609022556391,3.844360902255639,0.2525252525252525,0.2050632911392405,0.1495098039215686,0.270935960591133,0.5757575757575758,95.05148741418763,0.5355392156862745,0.2818627450980392,0.0,0.0453431372549019,0.1348039215686274,81.4,4.433333333333334
2026-06-11,823619,2026-06-11T17:10:00Z,Citi Field,STL,NYM,690928,Hunter Dobbins,STL,NYM,0,day,4.007164488550466,0.3725627651370712,0.2159903760357685,0.1114218231200609,0.0515613385682135,0.0215774875727651,0,,,,,,,,,,,,0,88,13.0,0.2509225092250922,0.6805542962492821,0.3155515370705244,960.0,103.3,97.8,10.7,2.769363782596972,0.0,6.410071942446043,3.107913669064748,0.776978417266187,1.316546762589928,3.8985611510791367,0.1701030927835051,0.1975308641975308,0.1788170563961485,0.2534059945504087,0.6134020618556701,95.53092105263156,0.4181568088033012,0.3755158184319119,0.1182943603851444,0.0866574965612104,0.0,72.6,4.633333333333334
2026-06-11,824265,2026-06-11T17:10:00Z,Comerica Park,MIN,DET,672456,Keider Montero,DET,MIN,1,day,3.997391219793034,0.370653395885119,0.2144620107829929,0.1104023322139009,0.0509784400072477,0.0212858718881472,0,,,,,,,,,,,,0,96,41.0,0.2326007326007326,0.6760025925035866,0.3208092485549133,960.0,98.9,87.6,11.4,4.085394624816424,0.0,5.497005988023952,2.263473053892216,1.2934131736526946,1.095808383233533,4.608982035928144,0.1504424778761062,0.1447028423772609,0.1685393258426966,0.2466487935656836,0.6371681415929203,94.40360576923078,0.519350811485643,0.1872659176029962,0.1410736579275905,0.1510611735330836,0.0012484394506866,80.1,5.566666666666666
2026-06-11,824265,2026-06-11T17:10:00Z,Comerica Park,MIN,DET,805673,Zebby Matthews,MIN,DET,0,day,4.476998978747834,0.4635251474048943,0.2931454751173137,0.1660138719788322,0.0847041494906098,0.0392012064228547,0,,,,,,,,,,,,0,81,31.0,0.2045855379188712,0.7543677564435218,0.2731239092495637,968.0,98.9,87.6,11.4,4.085394624816424,0.0,7.421052631578948,2.210526315789474,1.263157894736842,1.2456140350877194,4.117543859649123,0.1950207468879668,0.22,0.1523915461624026,0.3013392857142857,0.6639004149377593,95.63056994818652,0.4293659621802002,0.218020022246941,0.1045606229143492,0.1212458286985539,0.1268075639599555,89.9,5.7
