game_date,game_pk,game_time,venue,away_team,home_team,pitcher,pitcher_name,team,opp_team,is_home,day_night,pred_k,adj_k,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,is_frozen,book_markets,rest_days,prev_pitches,n_prior_starts,opp_k_pct_15,opp_ops_15,opp_chase_pct_15,n_prior_team_games,park_k_factor,temp_f,wind_speed,wind_favor,is_dome,p_k_per9_10,p_bb_per9_10,p_hr_per9_10,p_whip_10,p_fip_10,p_k_pct_10,p_swstr_pct_10,p_called_strike_pct_10,p_chase_pct_10,p_fp_strike_pct_10,p_fastball_velo_10,p_fastball_pct_10,p_slider_pct_10,p_curveball_pct_10,p_changeup_pct_10,p_other_pct_10,p_avg_pitches_10,p_avg_ip_10
2026-06-23,823690,2026-06-23T23:40:00Z,Target Field,LAD,MIN,680736,Justin Wrobleski,LAD,MIN,0,night,4.038430395480371,4.58931636581293,0.3908035660870906,0.2488140637568408,0.1532449434152389,0.0981093376356894,0.0702766743540198,1,5.5,under,hardrock,105.0,0.4878048780487805,0.6688416526526751,0.181,,,,,0,"{""pinnacle"": {""over"": -124, ""under"": -107}, ""fanduel"": null, ""novig"": {""over"": 144, ""under"": null}, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",7,67,12.0,0.1717687074829932,0.8675516698273922,0.2957233848953594,971.0,101.7,81.3,12.0,11.998172341876696,0.0,5.735751295336788,1.5388601036269431,0.839378238341969,1.0259067357512954,3.6440414507772014,0.159533073929961,0.1637931034482758,0.1784188034188034,0.3002421307506053,0.6395348837209303,93.8623595505618,0.5705128205128205,0.3205128205128205,0.0641025641025641,0.0416666666666666,0.001068376068376,93.4,6.433333333333333
2026-06-23,824584,2026-06-23T23:40:00Z,Rate Field,CLE,CWS,800048,Parker Messick,CLE,CWS,0,night,4.576913774388998,4.988116958777132,0.484187216173994,0.3292354536189948,0.2110353108850235,0.1337507592544722,0.0895351681413038,1,5.5,under,novig,-104.0,0.5098039215686274,0.6062411578958395,0.0964,,,,,0,"{""pinnacle"": null, ""fanduel"": null, ""novig"": {""over"": -102, ""under"": -104}, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",5,96,15.0,0.2326820603907637,0.7226346164028168,0.2954954954954955,969.0,99.3,65.6,10.0,-9.81627183447664,0.0,9.327272727272728,2.9454545454545453,1.1454545454545455,1.2363636363636363,3.718181818181818,0.2511013215859031,0.2517162471395881,0.1392543859649122,0.301010101010101,0.5657894736842105,93.18456521739132,0.5043859649122807,0.0581140350877193,0.1074561403508772,0.2532894736842105,0.0712719298245614,90.7,5.5
2026-06-23,824584,2026-06-23T23:40:00Z,Rate Field,CLE,CWS,680732,Sean Burke,CWS,CLE,1,night,5.003590967020813,5.423932267113992,0.5541229274401281,0.3962024981908352,0.2645076259742003,0.1703723012561835,0.1114954687016037,1,5.5,under,novig,125.0,0.4444444444444444,0.537799846477379,0.0934,,,,,0,"{""pinnacle"": {""over"": -150, ""under"": 113}, ""fanduel"": null, ""novig"": {""over"": -138, ""under"": 125}, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",10,92,11.0,0.2613430127041742,0.6123646962409751,0.3133047210300429,987.0,99.3,65.6,10.0,-9.81627183447664,0.0,8.48076923076923,3.1153846153846154,0.8653846153846154,1.2884615384615383,3.792307692307692,0.21875,0.1764705882352941,0.1889502762430939,0.3032967032967033,0.6339285714285714,94.30796645702308,0.5270718232044199,0.1790055248618784,0.2143646408839779,0.0320441988950276,0.0475138121546961,90.5,5.2
2026-06-23,822718,2026-06-23T22:45:00Z,Nationals Park,PHI,WSH,641793,Zack Littell,WSH,PHI,1,night,4.176264226341936,3.8239711394739837,0.4150001052864083,0.2686905820131936,0.1668527106766824,0.1060953022553274,0.0743779283459084,1,3.5,over,betrivers,123.0,0.4484304932735426,0.5282662256526699,0.0798,,,,,0,"{""pinnacle"": null, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",6,99,11.0,0.2575488454706927,0.7683424008055831,0.3557213930348258,1006.0,89.5,,,,,5.827338129496402,2.913669064748201,2.525179856115108,1.4244604316546765,6.553237410071942,0.144927536231884,0.1465968586387434,0.1335113484646194,0.2783783783783783,0.6490384615384616,91.33396226415094,0.4245660881174899,0.3831775700934579,0.0,0.1909212283044059,0.0013351134846461,74.9,4.633333333333334
2026-06-23,823210,2026-06-24T01:45:00Z,Oracle Park,ATH,SF,592662,Robbie Ray,SF,ATH,1,night,5.061258884618376,5.505012236262743,0.5631701111246591,0.4053082498565142,0.2721449585422159,0.1758629740751417,0.1149494679110582,1,5.5,under,betrivers,123.0,0.4484304932735426,0.5252538038845334,0.0768,,,,,0,"{""pinnacle"": null, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",13,93,14.0,0.2387312186978297,0.8678110966246559,0.2814321398834304,960.0,100.8,65.7,14.1,11.550043824474784,0.0,8.04635761589404,5.364238410596027,1.9668874172185435,1.5496688741721856,5.941059602649007,0.2036199095022624,0.2172949002217294,0.1219512195121951,0.2894248608534323,0.6053811659192825,93.1375,0.4581124072110286,0.2735949098621421,0.0774125132555673,0.1908801696712619,0.0,94.3,5.033333333333333
2026-06-23,823365,2026-06-23T22:40:00Z,PNC Park,SEA,PIT,669923,George Kirby,SEA,PIT,0,night,5.415350830497158,5.527993289324209,0.6162266930045658,0.4608673889406021,0.3206465328925616,0.2121686572850216,0.1387379380647892,1,5.5,under,pinnacle,124.0,0.44642857142857145,0.5217141386262896,0.0753,,,,,0,"{""pinnacle"": {""over"": -165, ""under"": 124}, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",6,92,15.0,0.2411971830985915,0.7333021566901409,0.2941176470588235,962.0,97.0,75.7,9.3,-8.133963276396381,0.0,8.307692307692307,2.396449704142012,0.7988165680473372,1.4911242603550294,3.259763313609468,0.2105263157894736,0.2231578947368421,0.154672395273899,0.3418259023354564,0.6396761133603239,96.81042553191487,0.5048335123523093,0.309344790547798,0.0902255639097744,0.0601503759398496,0.0354457572502685,93.1,5.633333333333334
2026-06-23,823286,2026-06-24T01:40:00Z,Petco Park,ATL,SD,702275,JR Ritchie,ATL,SD,0,night,5.137134112841761,4.773046818922383,0.5749075726691135,0.4172783316659843,0.2823179064762297,0.1832736487439557,0.1196731943592611,1,4.5,over,betrivers,125.0,0.4444444444444444,0.5169416517340069,0.0725,,,,,0,"{""pinnacle"": null, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",6,90,6.0,0.2170818505338078,0.677412299269043,0.3024302430243024,974.0,102.0,75.9,9.1,-8.034823095016236,0.0,7.363636363636364,5.6103896103896105,1.4025974025974026,1.4415584415584417,5.71038961038961,0.1842105263157894,0.1979695431472081,0.1469933184855233,0.2784313725490196,0.5565217391304348,93.97354838709676,0.3452115812917594,0.1069042316258351,0.2605790645879732,0.1848552338530066,0.1024498886414253,89.8,5.133333333333333
2026-06-23,823043,2026-06-23T23:45:00Z,Busch Stadium,AZ,STL,593958,Eduardo Rodriguez,AZ,STL,0,night,4.964141118000276,5.379758414681902,0.5478730270217417,0.3899727968996447,0.2593329594178436,0.1666880181475173,0.1092001978556739,1,5.5,under,pinnacle,110.0,0.47619047619047616,0.5446695783990755,0.0685,,,,,0,"{""pinnacle"": {""over"": -146, ""under"": 110}, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",6,100,15.0,0.1666666666666666,0.838543165812753,0.2710743801652892,955.0,89.3,,,,,7.097142857142857,3.5485714285714285,0.9257142857142856,1.2342857142857142,4.042857142857143,0.1916666666666666,0.1658986175115207,0.1696712619300106,0.291497975708502,0.6041666666666666,92.10478260869564,0.4878048780487805,0.0,0.1219512195121951,0.2523860021208908,0.1378579003181336,94.3,5.833333333333334
2026-06-23,823365,2026-06-23T22:40:00Z,PNC Park,SEA,PIT,656605,Mitch Keller,PIT,SEA,1,night,5.762212090730641,5.360243993119171,0.66367005722404,0.5138704944466954,0.3700076858097323,0.2515836836191072,0.1662856564621656,1,4.5,over,pinnacle,-119.0,0.54337899543379,0.6082653346571126,0.0649,,,,,0,"{""pinnacle"": {""over"": -119, ""under"": -111}, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",7,96,15.0,0.2076502732240437,0.641025641025641,0.3296903460837887,982.0,97.0,75.7,9.3,-8.133963276396381,0.0,7.2,2.9454545454545453,0.8181818181818182,1.3454545454545457,3.936363636363637,0.1841004184100418,0.1873589164785553,0.154015401540154,0.2945054945054945,0.5983263598326359,93.18600917431192,0.4796479647964796,0.2563256325632563,0.0836083608360836,0.0825082508250825,0.0968096809680968,90.8,5.5
2026-06-23,823614,2026-06-23T23:10:00Z,Citi Field,CHC,NYM,673540,Kodai Senga,NYM,CHC,1,night,4.965068766428936,4.819000708781465,0.5480205477096678,0.3901192732865046,0.2594541589835432,0.1667739764281859,0.1092535414691188,1,4.5,over,pinnacle,113.0,0.4694835680751174,0.5244749749927725,0.055,,,,,0,"{""pinnacle"": {""over"": 113, ""under"": -150}, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",7,82,6.0,0.2067226890756302,0.8132837750484809,0.2705882352941176,971.0,103.3,71.2,9.9,-5.098876941609538,0.0,10.35,5.85,2.25,1.95,6.15,0.2371134020618556,0.2603550295857988,0.1358695652173913,0.2626262626262626,0.5257731958762887,95.27402597402596,0.4184782608695652,0.1168478260869565,0.0027173913043478,0.233695652173913,0.2255434782608695,73.4,4.0
2026-06-23,824340,2026-06-24T00:40:00Z,Coors Field,BOS,COL,543243,Sonny Gray,BOS,COL,0,night,4.248600080519156,4.560842647138069,0.4276491991484145,0.2793472163408633,0.1743345803246447,0.1105979097769253,0.0767489568242923,1,4.5,under,betrivers,115.0,0.46511627906976744,0.5185359648692596,0.0534,,,,,0,"{""pinnacle"": null, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",5,89,13.0,0.2041522491349481,0.8435986159169551,0.3087071240105541,968.0,89.0,85.7,11.0,-8.174593080251334,0.0,7.394904458598726,2.579617834394905,0.8598726114649681,1.2229299363057324,3.730573248407644,0.2009345794392523,0.2146739130434782,0.1694267515923566,0.3170731707317073,0.5887850467289719,91.8829268292683,0.3656050955414012,0.1859872611464968,0.1923566878980891,0.0522292993630573,0.2038216560509554,78.5,5.233333333333333
2026-06-23,824340,2026-06-24T00:40:00Z,Coors Field,BOS,COL,807743,Sean Sullivan,COL,BOS,1,night,3.9664662209358985,3.716571748388531,0.3781507869136356,0.2386856454878332,0.146488350077251,0.0942458560904335,0.0683435951284137,1,3.5,over,betrivers,118.0,0.45871559633027525,0.5083701461384494,0.0497,,,,,0,"{""pinnacle"": null, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",6,82,2.0,0.2391713747645951,0.6525535103562233,0.3384615384615385,979.0,89.0,85.7,11.0,-8.174593080251334,0.0,6.0,0.0,0.0,0.6666666666666666,2.7666666666666666,0.1666666666666666,0.1379310344827586,0.0816326530612244,0.3333333333333333,0.5833333333333334,87.5551724137931,0.5918367346938775,0.1020408163265306,0.0,0.1428571428571428,0.1632653061224489,49.0,3.0
2026-06-23,823849,2026-06-23T22:40:00Z,loanDepot park,TEX,MIA,645261,Sandy Alcantara,MIA,TEX,1,night,6.066827957834851,5.7944011353354234,0.7014100807024553,0.5584944415339034,0.4139870089806345,0.288743904419334,0.1937653583845177,1,4.5,over,parx,-165.0,0.6226415094339622,0.6678335185914781,0.0452,,,,,0,"{""pinnacle"": {""over"": -175, ""under"": 131}, ""fanduel"": null, ""novig"": {""over"": -170, ""under"": 167}, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",6,102,16.0,0.2102473498233215,0.7465131376635801,0.2893203883495145,979.0,100.3,90.2,0.0,0.0,1.0,6.967741935483871,1.596774193548387,1.1612903225806452,1.3387096774193548,4.003225806451613,0.1818181818181818,0.1621621621621621,0.1605691056910569,0.3318965517241379,0.6428571428571429,97.45925058548008,0.4339430894308943,0.1443089430894309,0.0558943089430894,0.2154471544715447,0.1504065040650406,98.4,6.2
2026-06-23,824501,2026-06-23T23:10:00Z,Great American Ball Park,MIL,CIN,687075,Brandon Sproat,MIL,CIN,0,night,4.486849794578494,4.607750103336739,0.4688587438525854,0.3153423318829494,0.2005414849645512,0.1269566054769439,0.0856860678003121,1,4.5,under,draftkings,114.0,0.4672897196261682,0.5106032408218832,0.0433,,,,,0,"{""pinnacle"": {""over"": -104, ""under"": -127}, ""fanduel"": {""over"": -130, ""under"": -102}, ""novig"": {""over"": -122, ""under"": -102}, ""prophetx"": null, ""draftkings"": {""over"": -117, ""under"": -113}, ""circa"": null}",6,65,12.0,0.2434325744308231,0.7033739929353217,0.2665549036043587,959.0,103.9,80.7,9.4,-8.22142524711032,0.0,8.516778523489933,3.624161073825504,1.4496644295302017,1.308724832214765,4.811409395973154,0.2227488151658767,0.2301369863013698,0.1726263871763255,0.2486910994764398,0.5971563981042654,96.18746666666668,0.4623921085080148,0.0739827373612823,0.1085080147965474,0.0567200986436498,0.2651048088779285,81.1,4.966666666666667
2026-06-23,824262,2026-06-23T22:40:00Z,Comerica Park,NYY,DET,607074,Carlos Rodón,NYY,DET,0,night,5.39134819892392,5.645983395572275,0.612772896334528,0.4571349834415883,0.3172852865483166,0.2095740849103744,0.1369855107910428,1,5.5,under,pinnacle,114.0,0.4672897196261682,0.5036690133966321,0.0364,,,,,0,"{""pinnacle"": {""over"": -152, ""under"": 114}, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",6,99,7.0,0.2423698384201077,0.7703933627291715,0.2832319721980886,978.0,98.9,77.8,10.7,-9.266471820493493,0.0,9.870967741935484,5.516129032258065,0.5806451612903226,1.1935483870967742,3.6806451612903226,0.2635658914728682,0.2470588235294117,0.1373626373626373,0.2833876221498371,0.5923076923076923,94.10273556231004,0.6025641025641025,0.2582417582417582,0.0109890109890109,0.1282051282051282,0.0,91.0,5.166666666666667
2026-06-23,824017,2026-06-24T01:38:00Z,Angel Stadium,BAL,LAA,696270,Ryan Johnson,LAA,BAL,1,night,4.749370108784736,4.584061208991026,0.5130381595044161,0.3561406298911164,0.2319465570098545,0.1476831830912116,0.0976584394218925,1,4.5,over,betrivers,114.0,0.4672897196261682,0.4853965540656504,0.0181,,,,,0,"{""pinnacle"": null, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",5,89,2.0,0.2539964476021314,0.7403577207891718,0.2823426573426573,966.0,105.5,81.1,9.2,3.7419771162973614,0.0,5.4,10.8,2.7,3.3,9.4,0.0952380952380952,0.2619047619047619,0.075,0.2954545454545454,0.5909090909090909,92.9076923076923,0.1625,0.15,0.0,0.3375,0.35,80.0,3.333333333333333
2026-06-23,823614,2026-06-23T23:10:00Z,Citi Field,CHC,NYM,665795,Edward Cabrera,CHC,NYM,0,night,4.697531386630314,4.692115118572238,0.5044411590953157,0.3480191872591479,0.225553000215981,0.1433688920108075,0.0951110885388043,1,4.5,over,pinnacle,105.0,0.4878048780487805,0.5035390221092917,0.0157,,,,,0,"{""pinnacle"": {""over"": 105, ""under"": -139}, ""fanduel"": null, ""novig"": null, ""prophetx"": null, ""draftkings"": null, ""circa"": null}",7,67,13.0,0.2275132275132275,0.7534613851040135,0.3018699910952805,970.0,103.3,71.2,9.9,-5.098876941609538,0.0,8.59090909090909,2.9805194805194803,2.279220779220779,1.577922077922078,5.535064935064935,0.2149122807017544,0.2411347517730496,0.1395348837209302,0.3340248962655601,0.5938864628820961,96.1178787878788,0.3837209302325581,0.1209302325581395,0.1906976744186046,0.3046511627906976,0.0,86.0,5.133333333333334
