game_date,game_pk,game_time,venue,away_team,home_team,pitcher,pitcher_name,team,opp_team,is_home,day_night,pred_k,adj_k,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,ud_line,ud_side,model_prob_ud_line,edge_ud,is_frozen,book_markets,rest_days,prev_pitches,n_prior_starts,opp_k_pct_15,opp_ops_15,opp_chase_pct_15,n_prior_team_games,park_k_factor,temp_f,wind_speed,wind_favor,is_dome,p_k_per9_10,p_bb_per9_10,p_hr_per9_10,p_whip_10,p_fip_10,p_k_pct_10,p_swstr_pct_10,p_called_strike_pct_10,p_chase_pct_10,p_fp_strike_pct_10,p_fastball_velo_10,p_fastball_pct_10,p_slider_pct_10,p_curveball_pct_10,p_changeup_pct_10,p_other_pct_10,p_avg_pitches_10,p_avg_ip_10
2026-07-27,823839,2026-07-27T22:40:00Z,loanDepot park,PHI,MIA,554430,Zack Wheeler,PHI,MIA,0,night,5.569266496925943,6.223389098833762,0.6378553367386902,0.4846233066509308,0.3423916380803126,0.2292307714271388,0.1504528935003103,1,7.5,under,draftkings,-138,0.5798319327731093,0.691425192281777,0.11159325950866772,7.0,under,0.691425192281777,0.148,7.5,under,0.691425192281777,0.1565,0,"{""pinnacle"": {""line"": 7.5, ""over"": 114, ""under"": -156}, ""fanduel"": {""line"": 7.5, ""over"": 112, ""under"": -142}, ""draftkings"": {""line"": 7.5, ""over"": 109, ""under"": -138}, ""betrivers"": {""line"": 7.5, ""over"": 123, ""under"": -165}, ""novig"": {""line"": 7.5, ""over"": 127, ""under"": -138}, ""betmgm"": {""line"": 6.5, ""over"": -175, ""under"": 130}}",6,93,16.0,0.2220248667850799,0.7258043451403964,0.2994604316546763,980.0,100.3,86.2,0.0,0.0,1.0,11.445652173913045,2.2010869565217392,1.3206521739130437,0.8967391304347826,3.246739130434783,0.3319148936170212,0.2857142857142857,0.1370967741935483,0.3548951048951049,0.6468085106382979,95.28620689655172,0.4969758064516129,0.1491935483870967,0.0806451612903225,0.1612903225806451,0.1118951612903225,99.2,6.133333333333334
2026-07-27,822705,2026-07-27T22:45:00Z,Nationals Park,TOR,WSH,674841,Andrew Alvarez,WSH,TOR,1,night,4.093134776384032,3.841778060203596,0.400416809736526,0.256631127728496,0.1585420984996354,0.1011861532541499,0.0718404514895655,1,3.5,over,bet365,130,0.43478260869565216,0.5315220182180838,0.0967394095224316,,,,,,,,,0,"{""pinnacle"": null, ""fanduel"": null, ""draftkings"": {""line"": 3.5, ""over"": -118, ""under"": -108}, ""betrivers"": {""line"": 3.5, ""over"": -104, ""under"": -129}, ""novig"": {""line"": 4.5, ""over"": 167, ""under"": -167}, ""betmgm"": null}",7,74,7.0,0.176043557168784,0.6531427528216583,0.3352713178294573,1010.0,89.5,,,,,9.45,5.0625,0.3374999999999999,1.6124999999999998,3.2875,0.2333333333333333,0.2535885167464115,0.1677018633540372,0.3011152416356877,0.5454545454545454,91.97623318385652,0.4616977225672878,0.2339544513457556,0.2732919254658385,0.031055900621118,0.0,80.5,4.444444444444445
2026-07-27,824001,2026-07-28T01:38:00Z,Angel Stadium,HOU,LAA,837227,Tatsuya Imai,HOU,LAA,0,night,4.831385901591779,5.380916389757239,0.5264953764997825,0.3690334122587621,0.2422401599135935,0.1547277125139624,0.1018769119414161,1,6.5,under,betrivers,-150,0.6,0.6841727346187657,0.08417273461876573,6.0,under,0.6841727346187657,0.1408,5.5,under,0.5444892113572684,0.0096,0,"{""pinnacle"": {""line"": 5.5, ""over"": -160, ""under"": 120}, ""fanduel"": {""line"": 6.5, ""over"": 118, ""under"": -150}, ""draftkings"": {""line"": 6.5, ""over"": 124, ""under"": -159}, ""betrivers"": {""line"": 6.5, ""over"": 112, ""under"": -150}, ""novig"": {""line"": 5.5, ""over"": -160, ""under"": 150}, ""betmgm"": {""line"": 6.5, ""over"": 110, ""under"": -150}}",6,96,14.0,0.2588028169014084,0.6973137760434813,0.3233532934131736,993.0,105.5,88.6,9.8,3.8291650591948825,0.0,10.384615384615383,4.569230769230769,1.869230769230769,1.3846153846153846,5.223076923076923,0.2645502645502645,0.2868632707774799,0.1468788249694002,0.2860310421286031,0.5026455026455027,94.7935960591133,0.4969400244798042,0.4528763769889841,0.0,0.0501835985312117,0.0,81.7,4.333333333333334
2026-07-27,824245,2026-07-27T22:40:00Z,Comerica Park,BAL,DET,672456,Keider Montero,DET,BAL,1,night,3.85206717457649,4.138943171030956,0.3580598560728418,0.2229773822245904,0.1362529216626845,0.0885288576964883,0.0655493201662918,1,4.5,under,bet365,-110,0.5238095238095238,0.5915421487443813,0.06773262493485743,4.5,under,0.5915421487443813,0.0482,4.5,under,0.5915421487443813,0.0567,0,"{""pinnacle"": {""line"": 4.5, ""over"": -110, ""under"": -121}, ""fanduel"": {""line"": 4.5, ""over"": -100, ""under"": -128}, ""draftkings"": {""line"": 4.5, ""over"": -110, ""under"": -116}, ""betrivers"": null, ""novig"": {""line"": 4.5, ""over"": 106, ""under"": -120}, ""betmgm"": {""line"": 4.5, ""over"": 105, ""under"": -140}}",5,81,16.0,0.2521588946459412,0.742156124497992,0.2834710743801653,992.0,98.9,93.7,13.7,3.545820917904534,0.0,4.702247191011236,1.9719101123595504,1.0617977528089888,0.99438202247191,4.347191011235955,0.1324786324786324,0.1404358353510895,0.1637931034482758,0.2868632707774799,0.6239316239316239,94.3320093457944,0.5270935960591133,0.1834975369458128,0.1514778325123152,0.1366995073891625,0.001231527093596,81.2,5.933333333333334
2026-07-27,824245,2026-07-27T22:40:00Z,Comerica Park,BAL,DET,680694,Kyle Bradish,BAL,DET,0,night,4.737427599910928,5.099960054529111,0.5110636779793221,0.3542674799458737,0.2304657072584149,0.1466797165659192,0.0970634584668558,1,5.5,under,betmgm,-110,0.5238095238095238,0.5885840385247532,0.06477451471522933,5.5,under,0.5885840385247532,0.0452,5.5,under,0.5885840385247532,0.0537,0,"{""pinnacle"": {""line"": 5.5, ""over"": -117, ""under"": -113}, ""fanduel"": {""line"": 5.5, ""over"": -113, ""under"": -113}, ""draftkings"": {""line"": 5.5, ""over"": -106, ""under"": -121}, ""betrivers"": null, ""novig"": {""line"": 4.5, ""over"": -264, ""under"": 125}, ""betmgm"": {""line"": 5.5, ""over"": -118, ""under"": -110}}",5,89,20.0,0.2430939226519337,0.7070562542360117,0.2891246684350133,1006.0,98.9,93.7,13.7,3.545820917904534,0.0,8.05524861878453,3.729281767955801,1.0441988950276242,1.2099447513812154,4.061325966850829,0.2177419354838709,0.2280285035629453,0.1698513800424628,0.3102803738317757,0.5685483870967742,94.58399209486166,0.5371549893842887,0.2484076433121019,0.2144373673036093,0.0,0.0,94.2,6.033333333333333
2026-07-27,824977,2026-07-28T01:40:00Z,Sutter Health Park,BOS,ATH,801139,Payton Tolle,BOS,ATH,0,night,4.226797191588877,4.830441353473049,0.4238415707082243,0.2761201016634085,0.1720553199140733,0.1092180731653021,0.0760180359046918,1,5.5,under,bet365,105,0.4878048780487805,0.5511153156872125,0.06331043763843203,5.5,under,0.6311153156872125,0.0877,5.5,under,0.6311153156872125,0.0962,0,"{""pinnacle"": {""line"": 5.5, ""over"": -124, ""under"": -107}, ""fanduel"": {""line"": 5.5, ""over"": -118, ""under"": -108}, ""draftkings"": {""line"": 5.5, ""over"": -111, ""under"": -114}, ""betrivers"": {""line"": 5.5, ""over"": -134, ""under"": 100}, ""novig"": {""line"": 5.5, ""over"": -104, ""under"": -104}, ""betmgm"": {""line"": 5.5, ""over"": -125, ""under"": -105}}",7,88,16.0,0.2382671480144404,0.6709130434782609,0.3265306122448979,987.0,97.5,94.9,9.8,9.371786608437748,0.0,9.61875,3.0375,0.84375,1.2375,3.25,0.252212389380531,0.2383966244725738,0.1322505800464037,0.3432835820895522,0.6592920353982301,95.66553398058252,0.7169373549883991,0.0,0.0672853828306264,0.031322505800464,0.1844547563805104,86.2,5.333333333333334
2026-07-27,822868,2026-07-27T18:35:00Z,Globe Life Field,SEA,TEX,677958,Kumar Rocker,TEX,SEA,1,day,4.069353326811196,4.317886076074734,0.3962387405364642,0.2532207844984147,0.1562223519655527,0.0998336528051134,0.0711504602397272,1,4.5,under,novig,-100,0.5,0.5602848869363479,0.060284886936347926,4.5,under,0.5602848869363479,0.0169,4.5,under,0.5602848869363479,0.0254,0,"{""pinnacle"": null, ""fanduel"": {""line"": 4.5, ""over"": -113, ""under"": -113}, ""draftkings"": {""line"": 4.5, ""over"": -116, ""under"": -109}, ""betrivers"": {""line"": 4.5, ""over"": -103, ""under"": -130}, ""novig"": {""line"": 4.5, ""over"": -104, ""under"": -100}, ""betmgm"": {""line"": 4.5, ""over"": -115, ""under"": -115}}",6,75,17.0,0.2171532846715328,0.6142563801701378,0.3440951571792693,1009.0,99.0,,,,,7.397260273972602,3.883561643835616,1.6643835616438354,1.4383561643835614,5.278082191780822,0.1851851851851851,0.2043795620437956,0.1402298850574712,0.30406852248394,0.5138888888888888,94.33172804532578,0.4057471264367816,0.3632183908045977,0.0,0.0379310344827586,0.1919540229885057,86.9,4.866666666666667
2026-07-27,824490,2026-07-27T23:10:00Z,Great American Ball Park,CLE,CIN,695505,Chase Burns,CIN,CLE,1,night,7.091652331946565,6.7654378470765915,0.8016858343192501,0.6897593225739467,0.5574686712364093,0.4234459132288983,0.3046405626841638,1,6.5,over,betmgm,120,0.45454545454545453,0.51330852630367,0.058763071758215435,6.0,over,0.51330852630367,-0.0301,6.5,over,0.51330852630367,-0.0216,0,"{""pinnacle"": {""line"": 6.5, ""over"": 119, ""under"": -164}, ""fanduel"": {""line"": 6.5, ""over"": 114, ""under"": -146}, ""draftkings"": {""line"": 6.5, ""over"": 116, ""under"": -149}, ""betrivers"": {""line"": 6.5, ""over"": 110, ""under"": -148}, ""novig"": {""line"": 7.5, ""over"": 190, ""under"": -317}, ""betmgm"": {""line"": 6.5, ""over"": 120, ""under"": -160}}",6,91,19.0,0.2402135231316726,0.7074136440176579,0.3048458149779736,1015.0,103.9,94.9,8.0,6.037676641782176,0.0,11.317365269461078,3.395209580838324,0.9700598802395208,1.1676646706586826,3.1179640718562878,0.3056768558951965,0.2826552462526767,0.1419624217118998,0.3517495395948434,0.5851528384279476,97.62593917710196,0.5835073068893528,0.3653444676409186,0.0010438413361169,0.0501043841336116,0.0,95.8,5.566666666666666
2026-07-27,823195,2026-07-28T01:45:00Z,Oracle Park,MIL,SF,687075,Brandon Sproat,MIL,SF,0,night,5.013441358849055,4.815577751279074,0.5556758505447986,0.397758065779059,0.2658061402053288,0.1713013914837414,0.112077139502686,1,4.5,over,fanduel,104,0.49019607843137253,0.5239158337818003,0.03371975535042776,4.5,over,0.5239158337818003,-0.0195,4.5,over,0.5239158337818003,-0.011,0,"{""pinnacle"": {""line"": 4.5, ""over"": -100, ""under"": -132}, ""fanduel"": {""line"": 4.5, ""over"": 104, ""under"": -132}, ""draftkings"": {""line"": 4.5, ""over"": -104, ""under"": -122}, ""betrivers"": {""line"": 4.5, ""over"": 102, ""under"": -137}, ""novig"": {""line"": 3.5, ""over"": -264, ""under"": null}, ""betmgm"": {""line"": 4.5, ""over"": 100, ""under"": -135}}",6,99,17.0,0.2280071813285457,0.6985431371405237,0.3202911737943585,991.0,100.8,69.0,20.7,13.851003551628365,0.0,9.978260869565217,3.717391304347826,1.3695652173913044,1.2391304347826086,4.621739130434783,0.2575757575757575,0.2205513784461152,0.1502958579881657,0.2574257425742574,0.582089552238806,96.4598623853211,0.5159763313609468,0.0899408284023668,0.0828402366863905,0.0781065088757396,0.1988165680473372,84.3,4.6
2026-07-27,824977,2026-07-28T01:40:00Z,Sutter Health Park,BOS,ATH,678022,Jack Perkins,ATH,BOS,1,night,5.276848007988334,5.139364285269064,0.5960044206023918,0.4392469607818379,0.3013827458499378,0.197455816144756,0.1289049896458645,1,4.5,over,betmgm,-120,0.5454545454545454,0.5752496443169082,0.029795098862362757,5.0,over,0.41762986153376286,-0.1257,4.5,over,0.5752496443169082,0.0404,0,"{""pinnacle"": {""line"": 4.5, ""over"": -139, ""under"": 103}, ""fanduel"": {""line"": 4.5, ""over"": -138, ""under"": 108}, ""draftkings"": {""line"": 4.5, ""over"": -140, ""under"": 110}, ""betrivers"": {""line"": 4.5, ""over"": -148, ""under"": 110}, ""novig"": {""line"": 4.5, ""over"": -133, ""under"": 122}, ""betmgm"": {""line"": 4.5, ""over"": -120, ""under"": -110}}",6,87,7.0,0.2190305206463195,0.7572727272727273,0.3342082239720035,1007.0,97.5,94.9,9.8,9.371786608437748,0.0,12.4875,4.725,2.3625,1.6875,5.425,0.2936507936507936,0.2424242424242424,0.1783567134268537,0.3080357142857143,0.6190476190476191,95.8443113772455,0.3346693386773547,0.3346693386773547,0.0,0.156312625250501,0.1042084168336673,83.16666666666667,4.444444444444445
