game_date,game_pk,game_time,venue,away_team,home_team,pitcher,pitcher_name,team,opp_team,is_home,day_night,pred_k,adj_k,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,ud_line,ud_side,model_prob_ud_line,edge_ud,is_frozen,book_markets,rest_days,prev_pitches,n_prior_starts,opp_k_pct_15,opp_ops_15,opp_chase_pct_15,n_prior_team_games,park_k_factor,temp_f,wind_speed,wind_favor,is_dome,p_k_per9_10,p_bb_per9_10,p_hr_per9_10,p_whip_10,p_fip_10,p_k_pct_10,p_swstr_pct_10,p_called_strike_pct_10,p_chase_pct_10,p_fp_strike_pct_10,p_fastball_velo_10,p_fastball_pct_10,p_slider_pct_10,p_curveball_pct_10,p_changeup_pct_10,p_other_pct_10,p_avg_pitches_10,p_avg_ip_10
2026-07-24,823196,2026-07-25T02:15:00Z,Oracle Park,LAA,SF,657277,Logan Webb,SF,LAA,1,night,3.988459340300075,4.910420422537358,0.3820175738814776,0.2417616459135454,0.1485274682575198,0.0954045072993238,0.0689196610720597,1,5.5,under,novig,147.0,0.4048582995951417,0.5385072356282589,0.13364893603311717,6.0,under,0.7476450951571073,0.2043,5.5,under,0.6185072356282588,0.0836,0,"{""pinnacle"": {""line"": 5.5, ""over"": -186, ""under"": 139}, ""fanduel"": {""line"": 5.5, ""over"": -170, ""under"": 132}, ""draftkings"": {""line"": 5.5, ""over"": -161, ""under"": 126}, ""betrivers"": {""line"": 5.5, ""over"": -155, ""under"": 116}, ""novig"": {""line"": 5.5, ""over"": -160, ""under"": 147}, ""betmgm"": {""line"": 5.5, ""over"": -175, ""under"": 130}}",6,100,17.0,0.2687385740402194,0.6532845507528819,0.3384476534296028,990.0,100.8,,,,,6.821052631578948,1.847368421052632,0.8526315789473685,1.0263157894736843,3.5263157894736845,0.1912350597609561,0.1759465478841871,0.173391494002181,0.3486973947895792,0.6388888888888888,92.08826530612244,0.4274809160305343,0.1777535441657579,0.0,0.23773173391494,0.1570338058887677,91.7,6.333333333333333
2026-07-24,823759,2026-07-24T20:10:00Z,American Family Field,COL,MIL,608372,Tomoyuki Sugano,COL,MIL,0,day,4.072815487133706,3.9832755817590635,0.3968471126859089,0.2537161313705408,0.1565584518055613,0.1000291229446726,0.0712499321869348,1,3.5,over,fanduel,116.0,0.46296296296296297,0.5569301046456642,0.094,3.0,over,0.5134649669031088,-0.0299,3.5,over,0.5134649669031088,-0.0214,1,"{""pinnacle"": null, ""fanduel"": {""line"": 3.5, ""over"": 116, ""under"": -148}, ""draftkings"": {""line"": 3.5, ""over"": -205, ""under"": 150}, ""betrivers"": {""line"": 3.5, ""over"": 112, ""under"": -150}, ""novig"": null, ""betmgm"": null}",0,93,18.0,0.2139130434782608,0.7222996515679443,0.2632423756019261,1008.0,109.2,76.9,13.5,13.5,0.0,4.863354037267081,2.0124223602484475,2.0124223602484475,1.3975155279503106,5.708695652173914,0.1255411255411255,0.1654135338345864,0.1564625850340136,0.2616407982261641,0.5757575757575758,92.31382978723404,0.4263038548752834,0.2199546485260771,0.0770975056689342,0.1972789115646258,0.0793650793650793,88.2,5.366666666666666
2026-07-24,823843,2026-07-24T23:10:00Z,loanDepot park,SD,MIA,608566,Germán Márquez,SD,MIA,0,night,3.883135725398514,3.646782716191403,0.3635103580716924,0.2271934591133498,0.1389706223932368,0.0900304439555411,0.0662752745431918,1,3.5,over,pinnacle,134.0,0.42735042735042733,0.49521586927415706,0.06786544192372973,3.0,over,0.49521586927415706,-0.0482,3.5,over,0.49521586927415706,-0.0397,0,"{""pinnacle"": {""line"": 3.5, ""over"": 134, ""under"": -190}, ""fanduel"": {""line"": 3.5, ""over"": 124, ""under"": -156}, ""draftkings"": {""line"": 3.5, ""over"": 115, ""under"": -147}, ""betrivers"": {""line"": 3.5, ""over"": 120, ""under"": -159}, ""novig"": {""line"": 4.5, ""over"": 262, ""under"": null}, ""betmgm"": {""line"": 2.5, ""over"": -175, ""under"": 130}}",5,59,9.0,0.2136752136752136,0.8018449974755834,0.2840136054421768,977.0,100.3,89.9,0.0,0.0,1.0,6.28448275862069,3.9568965517241375,2.327586206896552,1.4741379310344829,6.462068965517242,0.1607142857142857,0.1851851851851851,0.1407185628742515,0.2574850299401197,0.621301775147929,94.59441176470588,0.5089820359281437,0.1122754491017964,0.3473053892215569,0.0314371257485029,0.0,83.5,4.833333333333333
2026-07-24,822952,2026-07-24T23:10:00Z,Tropicana Field,CLE,TB,663556,Shane McClanahan,TB,CLE,1,night,6.01176718504171,5.7048430100612375,0.694863931274316,0.5505877243521662,0.406028563292688,0.2818777031848983,0.1885819448360591,1,5.5,over,betmgm,125.0,0.4444444444444444,0.5052446581531667,0.06080021370872224,5.0,over,0.5052446581531667,-0.0381,5.5,over,0.5052446581531667,-0.0296,0,"{""pinnacle"": null, ""fanduel"": {""line"": 5.5, ""over"": 122, ""under"": -156}, ""draftkings"": {""line"": 5.5, ""over"": 116, ""under"": -148}, ""betrivers"": {""line"": 4.5, ""over"": -167, ""under"": 125}, ""novig"": {""line"": 4.5, ""over"": -170, ""under"": 163}, ""betmgm"": {""line"": 5.5, ""over"": 125, ""under"": -165}}",5,87,18.0,0.2597864768683274,0.751481738666891,0.303886925795053,1012.0,106.0,,,,,8.415584415584416,2.4545454545454546,0.8766233766233766,1.1688311688311688,3.431168831168831,0.2253521126760563,0.2385786802030456,0.1668773704171934,0.3224181360201511,0.6854460093896714,95.9685618729097,0.3780025284450063,0.1630847029077117,0.1592920353982301,0.2996207332490518,0.0,79.1,5.133333333333334
2026-07-24,823601,2026-07-24T23:10:00Z,Citi Field,LAD,NYM,640455,Sean Manaea,NYM,LAD,1,night,4.331192388121862,4.6517999920725,0.4420257097415296,0.2916818536529126,0.1831538261375951,0.1160030023272775,0.0796476102093576,1,5.5,under,fanduel,-154.0,0.6062992125984252,0.6591231196323253,0.05282390703390005,5.0,under,0.6591231196323253,0.1157,5.5,under,0.6591231196323253,0.1242,0,"{""pinnacle"": {""line"": 5.5, ""over"": 124, ""under"": -166}, ""fanduel"": {""line"": 5.5, ""over"": 120, ""under"": -154}, ""draftkings"": {""line"": 4.5, ""over"": -158, ""under"": 124}, ""betrivers"": {""line"": 5.5, ""over"": 125, ""under"": -167}, ""novig"": {""line"": 6.5, ""over"": 217, ""under"": -344}, ""betmgm"": {""line"": 5.5, ""over"": 140, ""under"": -190}}",6,99,7.0,0.2177858439201452,0.6598804922475454,0.2881662149954833,1027.0,103.3,83.7,8.4,5.055246194477206,0.0,8.15625,1.96875,1.40625,1.15625,4.35,0.2116788321167883,0.1764705882352941,0.1232142857142857,0.3561643835616438,0.5323741007194245,90.70033112582782,0.5392857142857143,0.3107142857142857,0.0,0.0232142857142857,0.1267857142857142,93.33333333333331,5.333333333333333
2026-07-24,824248,2026-07-24T22:40:00Z,Comerica Park,KC,DET,669373,Tarik Skubal,DET,KC,1,night,7.119815584641701,7.379558091169606,0.8038947056051111,0.69289844015248,0.5611862833847011,0.427219673892987,0.3079924796328975,1,7.5,under,novig,104.0,0.49019607843137253,0.5381122619777381,0.047916183546365565,7.5,under,0.5381122619777381,-0.0053,7.5,under,0.5381122619777381,0.0032,0,"{""pinnacle"": {""line"": 7.5, ""over"": -113, ""under"": -118}, ""fanduel"": {""line"": 7.5, ""over"": -125, ""under"": -102}, ""draftkings"": {""line"": 7.5, ""over"": -128, ""under"": 100}, ""betrivers"": {""line"": 7.5, ""over"": -134, ""under"": 102}, ""novig"": {""line"": 7.5, ""over"": -108, ""under"": 104}, ""betmgm"": {""line"": 7.5, ""over"": -120, ""under"": -110}}",6,87,14.0,0.2216404886561954,0.7859783816547126,0.3415492957746479,994.0,98.9,79.0,8.0,4.239354113865639,0.0,11.327586206896552,1.396551724137931,1.396551724137931,0.913793103448276,3.2724137931034485,0.3230088495575221,0.3018480492813141,0.1458563535911602,0.3664459161147902,0.6960352422907489,96.68665377176016,0.5712707182320442,0.1403314917127071,0.0441988950276243,0.2441988950276243,0.0,90.5,5.8
2026-07-24,823680,2026-07-25T00:10:00Z,Target Field,ATH,MIN,805673,Zebby Matthews,MIN,ATH,1,night,4.247291509729374,4.401121463225621,0.4274208050225513,0.2791531751679256,0.1741972009263841,0.1105145411704591,0.0767046886581685,1,4.5,under,bet365,-105.0,0.5121951219512195,0.5458719151410366,0.03367679318981709,4.5,under,0.5458719151410366,0.0025,4.5,under,0.5458719151410366,0.011,0,"{""pinnacle"": {""line"": 4.5, ""over"": -104, ""under"": -128}, ""fanduel"": {""line"": 4.5, ""over"": -106, ""under"": -120}, ""draftkings"": {""line"": 4.5, ""over"": 101, ""under"": -128}, ""betrivers"": {""line"": 4.5, ""over"": -103, ""under"": -130}, ""novig"": {""line"": 3.5, ""over"": -251, ""under"": 190}, ""betmgm"": {""line"": 4.5, ""over"": 100, ""under"": -135}}",5,87,12.0,0.2388591800356506,0.716421568627451,0.3394664213431462,984.0,101.7,82.0,12.8,8.227681403987704,0.0,7.35,2.55,2.1,1.2833333333333334,5.45,0.196,0.217391304347826,0.1680851063829787,0.2727272727272727,0.656,95.01772486772488,0.4021276595744681,0.2148936170212766,0.1244680851063829,0.1223404255319148,0.1361702127659574,94.0,6.0
2026-07-24,822872,2026-07-25T00:05:00Z,Globe Life Field,SEA,TEX,669022,MacKenzie Gore,TEX,SEA,1,night,6.060663749797418,6.14126779605626,0.7006832702594845,0.5576130029285411,0.4130962057807962,0.2879722466793432,0.19318046628468,1,6.5,under,betmgm,-140.0,0.5833333333333334,0.6152618986464715,0.031928565313138146,6.0,over,0.4247381013535285,-0.1186,6.5,under,0.5752618986464715,0.0404,0,"{""pinnacle"": {""line"": 6.5, ""over"": 121, ""under"": -167}, ""fanduel"": {""line"": 6.5, ""over"": 122, ""under"": -156}, ""draftkings"": {""line"": 6.5, ""over"": 113, ""under"": -144}, ""betrivers"": {""line"": 6.5, ""over"": 117, ""under"": -157}, ""novig"": {""line"": 7.5, ""over"": 228, ""under"": null}, ""betmgm"": {""line"": 6.5, ""over"": 105, ""under"": -140}}",6,87,21.0,0.2303473491773309,0.6327473033664734,0.3406862745098039,1006.0,99.0,,,,,9.642857142857142,2.732142857142857,0.9642857142857144,1.25,3.3142857142857145,0.2542372881355932,0.2494577006507592,0.1521035598705501,0.3096774193548387,0.5932203389830508,95.5183628318584,0.4875943905070118,0.0862998921251348,0.2157497303128371,0.1014023732470334,0.1089536138079827,92.7,5.6
2026-07-24,824812,2026-07-24T23:05:00Z,Oriole Park at Camden Yards,ATL,BAL,656550,Grant Holmes,ATL,BAL,0,night,5.219956819151186,5.120562976137297,0.5874964224936869,0.4303163903836303,0.2935708936424152,0.1915986667563405,0.1250623391190907,1,4.5,over,pinnacle,-139.0,0.5815899581589958,0.6123605551659407,0.030770597006944844,5.0,over,0.41466568082886,-0.1287,4.5,over,0.5723605551659406,0.0375,0,"{""pinnacle"": {""line"": 4.5, ""over"": -139, ""under"": 105}, ""fanduel"": {""line"": 5.5, ""over"": 122, ""under"": -156}, ""draftkings"": null, ""betrivers"": {""line"": 4.5, ""over"": -152, ""under"": 114}, ""novig"": {""line"": 3.5, ""over"": -506, ""under"": null}, ""betmgm"": null}",5,74,18.0,0.2517482517482518,0.7512670565302144,0.2780968006562756,989.0,97.4,82.0,8.6,-6.776892481017808,0.0,8.41304347826087,4.304347826086956,1.7608695652173914,1.4130434782608696,5.404347826086957,0.2118226600985221,0.2416452442159383,0.1462205700123915,0.303030303030303,0.5812807881773399,93.56786703601108,0.4473358116480793,0.3271375464684015,0.0978934324659231,0.0631970260223048,0.0631970260223048,80.6,4.6
2026-07-24,823031,2026-07-25T00:15:00Z,Busch Stadium,CIN,STL,669160,Dustin May,STL,CIN,1,night,5.8989575007665485,5.891917434110188,0.6810718991421671,0.5341613749717462,0.3897248852223047,0.2680070688520392,0.178256040620251,1,5.5,over,novig,-120.0,0.5454545454545454,0.5731265613149329,0.027672015860387478,5.5,over,0.5331265613149329,-0.0103,5.5,over,0.5331265613149329,-0.0018,0,"{""pinnacle"": {""line"": 5.5, ""over"": -139, ""under"": 103}, ""fanduel"": {""line"": 5.5, ""over"": -125, ""under"": -102}, ""draftkings"": {""line"": 5.5, ""over"": -127, ""under"": 100}, ""betrivers"": {""line"": 5.5, ""over"": -125, ""under"": -106}, ""novig"": {""line"": 5.5, ""over"": -120, ""under"": 111}, ""betmgm"": {""line"": 5.5, ""over"": -125, ""under"": -105}}",6,98,19.0,0.2315978456014362,0.768236907480004,0.288262910798122,983.0,89.3,,,,,10.19205298013245,3.039735099337748,0.5364238410596026,1.1125827814569536,2.8019867549668875,0.2714285714285714,0.2363636363636363,0.186335403726708,0.3193069306930693,0.6476190476190476,96.8005649717514,0.439751552795031,0.1913043478260869,0.0633540372670807,0.0583850931677018,0.2459627329192546,80.4,5.033333333333333
